"Location","Year","Series","Series Code","Permits"
"AL Alabama",1980,"Total Units",1,"15,998"
"AL Alabama",1981,"Total Units",1,"9,885"
"AL Alabama",1982,"Total Units",1,"8,732"
"AL Alabama",1983,"Total Units",1,"17,389"
"AL Alabama",1984,"Total Units",1,"15,297"
"AL Alabama",1985,"Total Units",1,"17,218"
"AL Alabama",1986,"Total Units",1,"19,174"
"AL Alabama",1987,"Total Units",1,"14,510"
"AL Alabama",1988,"Total Units",1,"12,772"
"AL Alabama",1989,"Total Units",1,"12,045"
"AL Alabama",1990,"Total Units",1,"12,559"
"AL Alabama",1991,"Total Units",1,"12,825"
"AL Alabama",1992,"Total Units",1,"15,925"
"AL Alabama",1993,"Total Units",1,"18,723"
"AL Alabama",1994,"Total Units",1,"19,152"
"AL Alabama",1995,"Total Units",1,"20,130"
"AL Alabama",1996,"Total Units",1,"19,874"
"AL Alabama",1997,"Total Units",1,"17,744"
"AL Alabama",1998,"Total Units",1,"20,541"
"AL Alabama",1999,"Total Units",1,"19,037"
"AL Alabama",2000,"Total Units",1,"17,426"
"AL Alabama",2001,"Total Units",1,"17,706"
"AL Alabama",2002,"Total Units",1,"18,871"
"AL Alabama",2003,"Total Units",1,"24,543"
"AL Alabama",2004,"Total Units",1,"27,412"
"AL Alabama",2005,"Total Units",1,"30,636"
"AL Alabama",2006,"Total Units",1,"32,034"
"AL Alabama",2007,"Total Units",1,"25,868"
"AL Alabama",2008,"Total Units",1,"17,485"
"AL Alabama",2009,"Total Units",1,"13,279"
"AL Alabama",2010,"Total Units",1,"11,274"
"AL Alabama",2011,"Total Units",1,"11,690"
"AL Alabama",2012,"Total Units",1,"13,533"
"AL Alabama",2013,"Total Units",1,"11,802"
"AL Alabama",2014,"Total Units",1,"13,515"
"AL Alabama",2015,"Total Units",1,"14,050"
"AL Alabama",2016,"Total Units",1,"15,001"
"AL Alabama",2017,"Total Units",1,"14,799"
"AL Alabama",2018,"Total Units",1,"14,824"
"AL Alabama",2019,"Total Units",1,"17,748"
"AL Alabama",2020,"Total Units",1,"19,985"
"AL Alabama",2021,"Total Units",1,"22,100"
"AL Alabama",2022,"Total Units",1,"19,657"
"AL Alabama",2023,"Total Units",1,"20,337"
"AL Alabama",1980,"Units in Single Family Structures",2,"9,040"
"AL Alabama",1981,"Units in Single Family Structures",2,"5,063"
"AL Alabama",1982,"Units in Single Family Structures",2,"4,742"
"AL Alabama",1983,"Units in Single Family Structures",2,"8,630"
"AL Alabama",1984,"Units in Single Family Structures",2,"8,215"
"AL Alabama",1985,"Units in Single Family Structures",2,"9,929"
"AL Alabama",1986,"Units in Single Family Structures",2,"11,514"
"AL Alabama",1987,"Units in Single Family Structures",2,"10,636"
"AL Alabama",1988,"Units in Single Family Structures",2,"9,667"
"AL Alabama",1989,"Units in Single Family Structures",2,"8,501"
"AL Alabama",1990,"Units in Single Family Structures",2,"8,827"
"AL Alabama",1991,"Units in Single Family Structures",2,"10,169"
"AL Alabama",1992,"Units in Single Family Structures",2,"13,509"
"AL Alabama",1993,"Units in Single Family Structures",2,"15,256"
"AL Alabama",1994,"Units in Single Family Structures",2,"14,459"
"AL Alabama",1995,"Units in Single Family Structures",2,"13,428"
"AL Alabama",1996,"Units in Single Family Structures",2,"14,572"
